State/Country,Year, Employed ('000) 
Johor,2016,"1,580.6"
Kedah,2016,884.3
Kelantan,2016,632.9
Malaysia,2016,"14,163.7"
Melaka,2016,397.3
Negeri Sembilan,2016,466.9
Pahang,2016,692.2
Perak,2016,988.2
Perlis,2016,100.1
Pulau Pinang,2016,827.4
Sabah,2016,"1,823.7"
Sarawak,2016,"1,218.2"
Selangor,2016,"3,217.6"
Terengganu,2016,428.5
W.P Labuan,2016,40.2
W.P. Kuala Lumpur,2016,827.2
W.P.Putrajaya,2016,38.2
Johor,2015,"1,582.6"
Kedah,2015,881.6
Kelantan,2015,652.1
Malaysia,2015,"14,067.7"
Melaka,2015,398.3
Negeri Sembilan,2015,468.7
Pahang,2015,697.5
Perak,2015,981.8
Perlis,2015,98.2
Pulau Pinang,2015,834.2
Sabah,2015,"1,771.1"
Sarawak,2015,"1,214.8"
Selangor,2015,"3,135.0"
Terengganu,2015,420.5
W.P Labuan,2015,39.5
W.P. Kuala Lumpur,2015,853.4
W.P.Putrajaya,2015,38.5
Johor,2014,"1,579.7"
Kedah,2014,859.8
Kelantan,2014,625.2
Malaysia,2014,"13,852.6"
Melaka,2014,394.9
Negeri Sembilan,2014,466.5
Pahang,2014,683.2
Perak,2014,954.1
Perlis,2014,95.2
Pulau Pinang,2014,839.2
Sabah,2014,"1,740.9"
Sarawak,2014,"1,232.2"
Selangor,2014,"3,033.6"
Terengganu,2014,414.9
W.P Labuan,2014,40.8
W.P. Kuala Lumpur,2014,852.0
W.P.Putrajaya,2014,40.3
Johor,2013,"1,553.4"
Kedah,2013,842.3
Kelantan,2013,602.7
Malaysia,2013,"13,545.4"
Melaka,2013,375.5
Negeri Sembilan,2013,464.1
Pahang,2013,659.8
Perak,2013,947.8
Perlis,2013,94.3
Pulau Pinang,2013,811.9
Sabah,2013,"1,706.0"
Sarawak,2013,"1,188.5"
Selangor,2013,"2,933.3"
Terengganu,2013,407.0
W.P Labuan,2013,40.1
W.P. Kuala Lumpur,2013,877.8
W.P.Putrajaya,2013,40.7
Johor,2012,"1,481.5"
Kedah,2012,786.9
Kelantan,2012,578.7
Malaysia,2012,"12,820.5"
Melaka,2012,357.0
Negeri Sembilan,2012,442.1
Pahang,2012,633.1
Perak,2012,927.1
Perlis,2012,87.1
Pulau Pinang,2012,779.8
Sabah,2012,"1,537.4"
Sarawak,2012,"1,143.9"
Selangor,2012,"2,776.1"
Terengganu,2012,389.6
W.P Labuan,2012,39.4
W.P. Kuala Lumpur,2012,820.4
W.P.Putrajaya,2012,40.3
Johor,2011,"1,461.9"
