State/Country,Year, Labour Force ('000) 
Johor,2016,"1,639.1"
Kedah,2016,910.9
Kelantan,2016,657.8
Malaysia,2016,"14,667.8"
Melaka,2016,400.8
Negeri Sembilan,2016,479.7
Pahang,2016,710.5
Perak,2016,"1,023.1"
Perlis,2016,103.2
Pulau Pinang,2016,845.5
Sabah,2016,"1,927.1"
Sarawak,2016,"1,260.1"
Selangor,2016,"3,325.0"
Terengganu,2016,447.2
W.P Labuan,2016,43.6
W.P. Kuala Lumpur,2016,855.4
W.P.Putrajaya,2016,38.9
Johor,2015,"1,633.2"
Kedah,2015,905.3
Kelantan,2015,676.2
Malaysia,2015,"14,518.0"
Melaka,2015,402.4
Negeri Sembilan,2015,483.6
Pahang,2015,718.2
Perak,2015,"1,014.3"
Perlis,2015,101.1
Pulau Pinang,2015,848.1
Sabah,2015,"1,863.4"
Sarawak,2015,"1,258.3"
Selangor,2015,"3,212.9"
Terengganu,2015,438.0
W.P Labuan,2015,41.5
W.P. Kuala Lumpur,2015,882.6
W.P.Putrajaya,2015,38.9
Johor,2014,"1,621.1"
Kedah,2014,884.1
Kelantan,2014,646.2
Malaysia,2014,"14,263.6"
Melaka,2014,398.3
Negeri Sembilan,2014,480.9
Pahang,2014,702.1
Perak,2014,987.2
Perlis,2014,98.5
Pulau Pinang,2014,852.5
Sabah,2014,"1,831.6"
Sarawak,2014,"1,271.4"
Selangor,2014,"3,096.0"
Terengganu,2014,432.8
W.P Labuan,2014,43.0
W.P. Kuala Lumpur,2014,877.0
W.P.Putrajaya,2014,40.8
Johor,2013,"1,598.9"
Kedah,2013,862.8
Kelantan,2013,619.8
Malaysia,2013,"13,980.5"
Melaka,2013,378.3
Negeri Sembilan,2013,478.9
Pahang,2013,678.9
Perak,2013,985.2
Perlis,2013,97.9
Pulau Pinang,2013,826.1
Sabah,2013,"1,801.7"
Sarawak,2013,"1,234.2"
Selangor,2013,"3,006.2"
Terengganu,2013,421.3
W.P Labuan,2013,41.8
W.P. Kuala Lumpur,2013,907.3
W.P.Putrajaya,2013,41.2
Johor,2012,"1,529.4"
Kedah,2012,810.3
Kelantan,2012,592.3
Malaysia,2012,"13,221.7"
Melaka,2012,358.8
Negeri Sembilan,2012,455.7
Pahang,2012,650.9
Perak,2012,955.4
Perlis,2012,90.6
Pulau Pinang,2012,795.8
Sabah,2012,"1,627.9"
Sarawak,2012,"1,184.9"
Selangor,2012,"2,842.6"
Terengganu,2012,401.8
W.P Labuan,2012,41.3
W.P. Kuala Lumpur,2012,842.9
W.P.Putrajaya,2012,40.9
Johor,2011,"1,499.9"
Kedah,2011,770.0
Kelantan,2011,555.4
Malaysia,2011,"12,740.7"
Melaka,2011,343.3
Negeri Sembilan,2011,429.1
Pahang,2011,624.6
Perak,2011,944.6
Perlis,2011,86.8
Pulau Pinang,2011,787.5
Sabah,2011,"1,562.5"
Sarawak,2011,"1,103.4"
Selangor,2011,"2,710.8"
Terengganu,2011,403.2
W.P Labuan,2011,40.3
W.P. Kuala Lumpur,2011,837.6
W.P.Putrajaya,2011,41.9
Johor,2010,"1,453.5"
Kedah,2010,746.9
Kelantan,2010,547.2
Malaysia,2010,"12,303.9"
Melaka,2010,338.6
Negeri Sembilan,2010,418.3
Pahang,2010,608.4
Perak,2010,906.0
Perlis,2010,83.6
Pulau Pinang,2010,759.0
Sabah,2010,"1,480.7"
Sarawak,2010,"1,093.7"
Selangor,2010,"2,634.4"
Terengganu,2010,380.6
W.P Labuan,2010,40.0
W.P. Kuala Lumpur,2010,812.9
W.P.Putrajaya,2010,
Johor,2009,"1,350.0"
Kedah,2009,732.6
Kelantan,2009,517.8
Malaysia,2009,"11,315.3"
Melaka,2009,290.9
Negeri Sembilan,2009,402.2
Pahang,2009,622.3
Perak,2009,923.7
Perlis,2009,84.3
Pulau Pinang,2009,707.1
Sabah,2009,"1,345.3"
Sarawak,2009,"1,024.2"
Selangor,2009,"2,173.3"
Terengganu,2009,405.6
W.P Labuan,2009,37.6
W.P. Kuala Lumpur,2009,698.3
W.P.Putrajaya,2009,
